iter	Passed	Remaining
512	582	552
513	583	551
514	584	550
515	585	549
516	587	548
517	588	547
518	590	546
519	591	545
520	592	544
521	593	543
522	594	542
523	595	540
524	596	539
525	597	538
526	598	537
527	599	535
528	601	535
529	602	534
530	603	533
531	605	532
532	606	531
533	607	529
534	608	528
535	609	527
536	610	526
537	611	524
538	612	523
539	613	522
540	615	521
541	616	520
542	617	519
543	618	518
544	619	517
545	620	516
546	621	515
547	623	513
548	624	512
549	625	511
550	626	510
551	627	509
552	628	507
553	629	507
554	631	505
555	632	504
556	633	503
557	634	502
558	635	501
559	636	499
560	637	498
561	638	497
562	639	496
563	640	495
564	641	493
565	642	492
566	643	491
567	644	490
568	646	489
569	647	488
570	648	487
571	649	485
572	650	484
573	651	483
574	652	482
575	653	481
576	654	479
577	655	478
578	656	477
579	658	476
580	659	475
581	660	474
582	661	473
583	662	472
584	663	470
585	664	469
586	665	468
587	666	467
588	667	466
589	669	464
590	670	463
591	671	462
592	672	461
593	673	460
594	674	459
595	675	458
596	676	456
597	677	455
598	678	454
599	679	453
600	680	452
601	681	450
602	682	449
603	683	448
604	684	447
605	685	445
606	687	444
607	688	443
608	689	442
609	690	441
610	691	440
611	692	438
612	693	438
613	695	437
614	696	435
615	697	434
616	698	433
617	699	432
618	700	431
619	701	430
620	703	429
621	704	428
622	705	426
623	706	425
624	707	424
625	709	423
626	710	422
627	711	421
628	712	420
629	713	419
630	714	417
631	715	416
632	717	415
633	718	414
634	719	413
635	720	412
636	721	411
637	722	410
638	724	409
639	725	408
640	726	406
641	727	405
642	728	404
643	730	403
644	731	402
645	733	401
646	734	400
647	735	399
648	736	398
649	737	397
650	738	396
651	740	395
652	741	393
653	742	392
654	743	391
655	744	390
656	746	389
657	747	388
658	748	387
659	749	386
660	750	384
661	751	383
662	752	382
663	754	381
664	755	380
665	756	379
666	757	378
667	758	377
668	759	375
669	760	374
670	761	373
671	762	372
672	763	371
673	764	369
674	765	368
675	767	367
676	768	366
677	769	365
678	770	364
679	771	363
680	772	361
681	773	360
682	774	359
683	775	358
684	776	357
685	777	355
686	778	354
687	780	353
688	781	352
689	782	351
690	783	350
691	784	349
692	785	347
693	786	346
694	787	345
695	788	344
696	789	343
697	790	342
698	791	340
699	792	339
700	794	338
701	795	337
702	796	336
703	797	335
704	798	334
705	799	332
706	800	331
707	801	330
708	802	329
709	803	328
710	804	327
711	805	325
712	806	324
713	808	323
714	809	322
715	810	321
716	811	320
717	812	319
718	813	317
719	814	316
720	815	315
721	817	314
722	818	313
723	819	312
724	820	311
725	821	310
726	822	308
727	824	307
728	825	306
729	826	305
730	827	304
731	828	303
732	829	302
733	830	300
734	831	299
735	832	298
736	833	297
737	834	296
738	835	295
739	836	294
740	838	292
741	839	291
742	840	290
743	841	289
744	842	288
745	843	287
746	844	286
747	845	284
748	846	283
749	847	282
750	848	281
751	849	280
752	851	279
753	852	278
754	853	276
755	854	275
756	855	274
757	856	273
758	857	272
759	858	271
760	859	269
761	860	268
762	861	267
763	862	266
764	864	265
765	865	264
766	866	263
767	867	262
768	868	260
769	869	259
770	870	258
771	871	257
772	872	256
773	873	255
774	874	253
775	875	252
776	876	251
777	877	250
778	878	249
779	879	248
780	880	246
781	881	245
782	882	244
783	883	243
784	884	242
785	885	241
786	886	239
787	887	238
788	888	237
789	889	236
790	890	235
791	891	234
792	891	232
793	892	231
794	894	230
795	895	229
796	896	228
797	897	227
798	898	225
799	899	224
800	900	223
801	901	222
802	902	221
803	902	220
804	903	218
805	904	217
806	905	216
807	906	215
808	907	214
809	908	213
810	909	212
811	910	210
812	911	209
813	912	208
814	914	207
815	915	206
816	916	205
817	917	204
818	918	202
819	919	201
820	920	200
821	921	199
822	922	198
823	923	197
824	924	196
825	925	195
826	927	194
827	929	193
828	930	191
829	932	190
830	932	189
831	934	188
832	935	187
833	936	186
834	937	185
835	938	184
836	939	182
837	940	181
838	941	180
839	942	179
840	943	178
841	944	177
842	945	176
843	946	174
844	947	173
845	948	172
846	949	171
847	950	170
848	951	169
849	953	168
850	954	167
851	955	165
852	956	164
853	957	163
854	958	162
855	959	161
856	960	160
857	961	159
858	962	157
859	962	156
860	963	155
861	965	154
862	966	153
863	967	152
864	968	151
865	969	150
866	970	148
867	971	147
868	972	146
869	973	145
870	974	144
871	975	143
872	976	141
873	976	140
874	977	139
875	978	138
876	980	137
877	981	136
878	982	135
879	982	134
880	983	132
881	984	131
882	985	130
883	986	129
884	987	128
885	988	127
886	989	126
887	990	124
888	991	123
889	992	122
890	992	121
891	994	120
892	995	119
893	996	118
894	997	117
895	998	115
896	999	114
897	1000	113
898	1001	112
899	1002	111
900	1003	110
901	1004	109
902	1005	108
903	1006	106
904	1007	105
905	1008	104
906	1010	103
907	1011	102
908	1012	101
909	1013	100
910	1014	99
911	1015	98
912	1016	96
913	1017	95
914	1018	94
915	1019	93
916	1020	92
917	1021	91
918	1023	90
919	1024	89
920	1025	87
921	1026	86
922	1027	85
923	1028	84
924	1029	83
925	1029	82
926	1030	81
927	1031	80
928	1032	78
929	1033	77
930	1034	76
931	1035	75
932	1036	74
933	1037	73
934	1039	72
935	1040	71
936	1041	69
937	1042	68
938	1043	67
939	1044	66
940	1045	65
941	1046	64
942	1047	63
943	1048	62
944	1049	61
945	1050	59
946	1052	58
947	1053	57
948	1054	56
949	1055	55
950	1056	54
951	1057	53
952	1058	52
953	1059	51
954	1061	49
955	1062	48
956	1063	47
957	1063	46
958	1065	45
959	1066	44
960	1067	43
961	1068	42
962	1069	41
963	1070	39
964	1071	38
965	1073	37
966	1074	36
967	1075	35
968	1076	34
969	1077	33
970	1078	32
971	1079	31
972	1080	29
973	1081	28
974	1082	27
975	1083	26
976	1084	25
977	1085	24
978	1087	23
979	1089	22
980	1090	21
981	1091	20
982	1092	18
983	1093	17
984	1094	16
985	1095	15
986	1096	14
987	1097	13
988	1098	12
989	1100	11
990	1101	10
991	1102	8
992	1104	7
993	1105	6
994	1106	5
995	1107	4
996	1108	3
997	1110	2
998	1111	1
999	1112	0
